LMK6;4,000;6,000;0,000;12,000;0,000;19,000;0,000;28,000;0,000;22,000;5,000;20,000;3.4×6.5×3.3;12,000;12,000;–5;206,000;265,000;18,500
LMK8S;4,000;8,000;-0,009;15,000;-0,011;17,000;-0,200;32,000;-0,200;25,000;5,000;24,000;3.4×6.5×3.3;12,000;12,000;–5;176,000;225,000;23,000
LMK8;4,000;8,000;;15,000;;24,000;;32,000;;25,000;5,000;24,000;3.4×6.5×3.3;12,000;12,000;–5;265,000;402,000;29,000
LMK10;4,000;10,000;;19,000;0,000;29,000;;39,000;;30,000;6,000;29,000;4.5×8×4.4;12,000;12,000;–5;373,000;549,000;61,000
LMK12;4,000;12,000;;21,000;-0,013;30,000;;42,000;;32,000;6,000;32,000;4.5×8×4.4;12,000;12,000;–5;412,000;598,000;56,000
LMK13;4,000;13,000;;23,000;;32,000;;43,000;;34,000;6,000;33,000;4.5×8×4.4;12,000;12,000;–7;510,000;775,000;75,000
LMK16;5,000;16,000;;28,000;;37,000;;48,000;;37,000;6,000;38,000;4.5×8×4.4;12,000;12,000;–7;775,000;1180,000;104,000
LMK20;5,000;20,000;0,000;32,000;0,000;42,000;;54,000;;42,000;8,000;43,000;5.5×9.2×5.4;15,000;15,000;–9;863,000;1370,000;145,000
LMK25;6,000;25,000;-0,010;40,000;-0,016;59,000;0,000;62,000;;50,000;8,000;51,000;5.5×9.2×5.4;15,000;15,000;–9;980,000;1570,000;300,000
LMK30;6,000;30,000;;45,000;;64,000;-0,300;74,000;;58,000;10,000;60,000;6.6×11×6.5;15,000;15,000;–9;1570,000;2750,000;375,000
LMK35;6,000;35,000;0,000;52,000;0,000;70,000;;82,000;;64,000;10,000;67,000;6.6×11×6.5;20,000;20,000;–13;1670,000;3140,000;692,000
LMK40;6,000;45,000;-0,012;60,000;-0,019;80,000;;96,000;0,000;75,000;13,000;78,000;9×14×8.6;20,000;20,000;–13;2160,000;4020,000;864,000
LMK50;6,000;50,000;;80,000;;100,000;;116,000;-0,300;92,000;13,000;98,000;9×14×8.6;20,000;20,000;–13;3820,000;7940,000;2020,000
LMK60;6,000;60,000;0,000;90,000;0,000;110,000;;134,000;;106,000;18,000;112,000;11×17.5×10.8;25,000;25,000;–13;4710,000;10000,000;2520,000